geography;year;category;households;value
Southbank;2034;Structural Private Dwellings;Not applicable;16846
Southbank;2035;Structural Private Dwellings;Not applicable;17105
Southbank;2041;Structural Private Dwellings;Not applicable;19101
West Melbourne (Industrial);2027;Structural Private Dwellings;Not applicable;0
West Melbourne (Industrial);2033;Structural Private Dwellings;Not applicable;0
West Melbourne (Industrial);2035;Structural Private Dwellings;Not applicable;0
West Melbourne (Industrial);2036;Structural Private Dwellings;Not applicable;0
West Melbourne (Industrial);2037;Structural Private Dwellings;Not applicable;0
West Melbourne (Residential);2021;Structural Private Dwellings;Not applicable;5118
West Melbourne (Residential);2024;Structural Private Dwellings;Not applicable;5118
West Melbourne (Residential);2026;Structural Private Dwellings;Not applicable;5569
West Melbourne (Residential);2027;Structural Private Dwellings;Not applicable;5771
West Melbourne (Residential);2030;Structural Private Dwellings;Not applicable;6100
West Melbourne (Residential);2035;Structural Private Dwellings;Not applicable;6750
City of Melbourne;2022;Household type;Total households;86951
City of Melbourne;2023;Household type;Total households;90776
City of Melbourne;2024;Household type;Total households;95683
City of Melbourne;2025;Household type;Total households;99139
City of Melbourne;2031;Household type;Total households;112135
City of Melbourne;2032;Household type;Total households;112997
City of Melbourne;2035;Household type;Total households;120019
City of Melbourne;2037;Household type;Total households;125748
City of Melbourne;2038;Household type;Total households;128411
Carlton;2021;Household type;Total households;11358
Carlton;2028;Household type;Total households;13751
Carlton;2029;Household type;Total households;14291
Carlton;2032;Household type;Total households;15308
Carlton;2034;Household type;Total households;16736
Carlton;2040;Household type;Total households;20813
Docklands;2022;Household type;Total households;8698
Docklands;2025;Household type;Total households;10103
Docklands;2028;Household type;Total households;10803
Docklands;2030;Household type;Total households;11022
Docklands;2032;Household type;Total households;11157
Docklands;2035;Household type;Total households;11594
Docklands;2036;Household type;Total households;11798
Docklands;2037;Household type;Total households;11998
Docklands;2038;Household type;Total households;12356
Docklands;2040;Household type;Total households;12886
Docklands;2041;Household type;Total households;13175
East Melbourne;2021;Household type;Total households;2894
East Melbourne;2023;Household type;Total households;3069
East Melbourne;2026;Household type;Total households;3520
East Melbourne;2029;Household type;Total households;3668
East Melbourne;2033;Household type;Total households;3664
East Melbourne;2041;Household type;Total households;3638
Kensington;2021;Household type;Total households;5067
Kensington;2022;Household type;Total households;5125
Kensington;2023;Household type;Total households;5282
Kensington;2025;Household type;Total households;5639
Kensington;2029;Household type;Total households;6053
Kensington;2032;Household type;Total households;6159
Kensington;2034;Household type;Total households;6218
Kensington;2037;Household type;Total households;6373
Kensington;2039;Household type;Total households;6710
Melbourne (CBD);2024;Household type;Total households;30229
Melbourne (CBD);2027;Household type;Total households;33764
Melbourne (CBD);2028;Household type;Total households;34500
Melbourne (CBD);2038;Household type;Total households;40019
Melbourne (CBD);2039;Household type;Total households;40853
Melbourne (CBD);2040;Household type;Total households;41321
Melbourne (CBD);2041;Household type;Total households;42219
Melbourne (Remainder);2021;Household type;Total households;1317
Melbourne (Remainder);2022;Household type;Total households;1335
Melbourne (Remainder);2024;Household type;Total households;1489
Melbourne (Remainder);2030;Household type;Total households;1541
Melbourne (Remainder);2038;Household type;Total households;1531
Melbourne (Remainder);2039;Household type;Total households;1530
North Melbourne;2023;Household type;Total households;8560
North Melbourne;2025;Household type;Total households;9138
North Melbourne;2027;Household type;Total households;10013
North Melbourne;2028;Household type;Total households;10347
North Melbourne;2030;Household type;Total households;10787
North Melbourne;2034;Household type;Total households;11675
North Melbourne;2036;Household type;Total households;12637
North Melbourne;2037;Household type;Total households;13119
Parkville;2023;Household type;Total households;2734
Parkville;2026;Household type;Total households;2924
Parkville;2028;Household type;Total households;2923
Parkville;2029;Household type;Total households;2923
Parkville;2033;Household type;Total households;2921
Parkville;2036;Household type;Total households;2918
Parkville;2038;Household type;Total households;2916
Parkville;2040;Household type;Total households;2915
Port Melbourne;2022;Household type;Total households;2
Port Melbourne;2024;Household type;Total households;2
Port Melbourne;2025;Household type;Total households;2
Port Melbourne;2028;Household type;Total households;289
Port Melbourne;2030;Household type;Total households;369
Port Melbourne;2039;Household type;Total households;1137
South Yarra;2022;Household type;Total households;2370
South Yarra;2023;Household type;Total households;2482
South Yarra;2026;Household type;Total households;2793
South Yarra;2027;Household type;Total households;2837
South Yarra;2030;Household type;Total households;2832
South Yarra;2039;Household type;Total households;2816
Southbank;2021;Household type;Total households;12050
Southbank;2026;Household type;Total households;14570
Southbank;2027;Household type;Total households;14956
Southbank;2029;Household type;Total households;15425
Southbank;2031;Household type;Total households;15702
Southbank;2032;Household type;Total households;15777
Southbank;2035;Household type;Total households;16336
Southbank;2038;Household type;Total households;17308
Southbank;2039;Household type;Total households;17676
West Melbourne (Industrial);2026;Household type;Total households;0
West Melbourne (Industrial);2027;Household type;Total households;0
West Melbourne (Industrial);2029;Household type;Total households;0
West Melbourne (Industrial);2030;Household type;Total households;0
West Melbourne (Industrial);2031;Household type;Total households;0
West Melbourne (Industrial);2033;Household type;Total households;0
West Melbourne (Industrial);2034;Household type;Total households;0
West Melbourne (Industrial);2035;Household type;Total households;0
West Melbourne (Industrial);2038;Household type;Total households;0
West Melbourne (Industrial);2039;Household type;Total households;0
West Melbourne (Residential);2021;Household type;Total households;4727
West Melbourne (Residential);2024;Household type;Total households;5050
West Melbourne (Residential);2032;Household type;Total households;6111
West Melbourne (Residential);2036;Household type;Total households;6621
West Melbourne (Residential);2039;Household type;Total households;6614
West Melbourne (Residential);2040;Household type;Total households;6611
Carlton;2021;Household size;Not applicable;1
Carlton;2024;Household size;Not applicable;1
Carlton;2025;Household size;Not applicable;1
Carlton;2026;Household size;Not applicable;1
Carlton;2028;Household size;Not applicable;1
Carlton;2031;Household size;Not applicable;1
Carlton;2035;Household size;Not applicable;1
Carlton;2036;Household size;Not applicable;1
Carlton;2037;Household size;Not applicable;1
Docklands;2022;Household size;Not applicable;1
Docklands;2025;Household size;Not applicable;1
Docklands;2026;Household size;Not applicable;1
Docklands;2027;Household size;Not applicable;1
Docklands;2028;Household size;Not applicable;2
Docklands;2030;Household size;Not applicable;2
Docklands;2035;Household size;Not applicable;2
Docklands;2041;Household size;Not applicable;2
East Melbourne;2023;Household size;Not applicable;1
East Melbourne;2034;Household size;Not applicable;1
East Melbourne;2036;Household size;Not applicable;1
East Melbourne;2039;Household size;Not applicable;1
East Melbourne;2040;Household size;Not applicable;1
East Melbourne;2041;Household size;Not applicable;1
Kensington;2024;Household size;Not applicable;2
Kensington;2026;Household size;Not applicable;2
Kensington;2032;Household size;Not applicable;2
Kensington;2039;Household size;Not applicable;2
Melbourne (CBD);2023;Household size;Not applicable;1
Melbourne (CBD);2024;Household size;Not applicable;1
Melbourne (CBD);2032;Household size;Not applicable;1
Melbourne (CBD);2034;Household size;Not applicable;1
Melbourne (CBD);2036;Household size;Not applicable;1
Melbourne (CBD);2037;Household size;Not applicable;1
Melbourne (CBD);2041;Household size;Not applicable;1
Melbourne (Remainder);2021;Household size;Not applicable;2
Melbourne (Remainder);2025;Household size;Not applicable;2
Melbourne (Remainder);2027;Household size;Not applicable;2
Melbourne (Remainder);2029;Household size;Not applicable;2
Melbourne (Remainder);2032;Household size;Not applicable;2
Melbourne (Remainder);2033;Household size;Not applicable;2
Melbourne (Remainder);2035;Household size;Not applicable;2
Melbourne (Remainder);2037;Household size;Not applicable;2
Melbourne (Remainder);2038;Household size;Not applicable;2
Melbourne (Remainder);2039;Household size;Not applicable;2
Melbourne (Remainder);2041;Household size;Not applicable;2
North Melbourne;2021;Household size;Not applicable;1
North Melbourne;2026;Household size;Not applicable;1
North Melbourne;2034;Household size;Not applicable;2
North Melbourne;2037;Household size;Not applicable;2
North Melbourne;2040;Household size;Not applicable;2
Parkville;2021;Household size;Not applicable;1
Parkville;2023;Household size;Not applicable;1
Parkville;2024;Household size;Not applicable;1
Parkville;2027;Household size;Not applicable;2
Parkville;2029;Household size;Not applicable;2
Parkville;2033;Household size;Not applicable;2
Parkville;2034;Household size;Not applicable;2
Parkville;2036;Household size;Not applicable;2
Parkville;2037;Household size;Not applicable;2
Parkville;2038;Household size;Not applicable;2
Port Melbourne;2027;Household size;Not applicable;2
Port Melbourne;2028;Household size;Not applicable;2
Port Melbourne;2030;Household size;Not applicable;2
Port Melbourne;2033;Household size;Not applicable;2
Port Melbourne;2035;Household size;Not applicable;2
Port Melbourne;2040;Household size;Not applicable;2
South Yarra;2021;Household size;Not applicable;1
South Yarra;2022;Household size;Not applicable;1
South Yarra;2028;Household size;Not applicable;1
South Yarra;2032;Household size;Not applicable;1
South Yarra;2036;Household size;Not applicable;2
South Yarra;2041;Household size;Not applicable;2
Southbank;2024;Household size;Not applicable;1
Southbank;2026;Household size;Not applicable;1
Southbank;2028;Household size;Not applicable;1
Southbank;2034;Household size;Not applicable;2
Southbank;2038;Household size;Not applicable;2
Southbank;2039;Household size;Not applicable;2
Southbank;2040;Household size;Not applicable;2
West Melbourne (Industrial);2021;Household size;Not applicable;0
West Melbourne (Industrial);2022;Household size;Not applicable;0
West Melbourne (Industrial);2023;Household size;Not applicable;0
West Melbourne (Industrial);2026;Household size;Not applicable;0
West Melbourne (Industrial);2030;Household size;Not applicable;0
West Melbourne (Industrial);2033;Household size;Not applicable;0
West Melbourne (Industrial);2034;Household size;Not applicable;0
West Melbourne (Industrial);2035;Household size;Not applicable;0
West Melbourne (Industrial);2037;Household size;Not applicable;0
West Melbourne (Industrial);2038;Household size;Not applicable;0
West Melbourne (Residential);2021;Household size;Not applicable;1
West Melbourne (Residential);2023;Household size;Not applicable;1
West Melbourne (Residential);2030;Household size;Not applicable;2
West Melbourne (Residential);2032;Household size;Not applicable;2
West Melbourne (Residential);2037;Household size;Not applicable;2
West Melbourne (Residential);2040;Household size;Not applicable;2
City of Melbourne;2025;Household size;Not applicable;1
City of Melbourne;2027;Household size;Not applicable;1
City of Melbourne;2040;Household size;Not applicable;2
